Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
Eagle Restaurant & Bar,"Shree Venkateshwara Hotel,Lakdi-Ka-Pul, Central Hyderabad", Central Hyderabad,Hyderabad,"North Indian,  Chinese,  South Indian",3.6,19,1400
Kebab E Bahar,"Taj Banjara Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Mughlai,  Hyderabadi",4,35,3200
Amantran,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,Bengali,3.4,2,300
So. The Sky Kitchen,"Aryan's Building,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Asian",4.1,425,1800
Hydrate - The Bar,"Hampshire Plaza Hotel,Lakdi-Ka-Pul, Central Hyderabad", Central Hyderabad,Hyderabad,North Indian,3.1,4,1500
Lazeez Khaana,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,"North Indian,  Chinese,  Mughlai",4.4,12,900
Cream Stone,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Desserts,  Ice Cream,  Shakes",4.2,17,400
Dakshina Mandapa,"Taj Tristar Hotel,SD Road, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Chinese,  South Indian",4,46,700
Four Square,"Best Western Ashoka,Lakdi-Ka-Pul, Central Hyderabad", Central Hyderabad,Hyderabad,"North Indian,  Chinese,  Continental,  South Indian",3.4,6,1200
Hotel Shadab,"SR Nagar, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Mughlai,  Hyderabadi,  Biryani",4.3,173,900
Southern Mirchi,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Chinese,  South Indian",4,1,1000
Makers Of Milkshakes," Sri Nagar Colony, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Shakes,  Waffle",4.2,5,400
Hari Dosa,"Ameerpet, Central East Hyderabad", Central East Hyderabad,Hyderabad,"South Indian,  Street Food,  Fast Food,  Desserts,  Ice Cream,  Shakes",3,6,300
Reshmi's Classic Restaurant,"SD Road, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Seafood",4,76,800
Abids Bistro,"Royalton Hotel,Abids, Central Hyderabad", Central Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian",4,231,600
TOS - Tales Over Spirits,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"North Indian,  Chinese",3.9,280,1500
Ohri's Mehfill,"Hotel Baseraa,SD Road, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Mughlai",4.1,285,1800
WOFL,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Desserts,  Fast Food,  Waffle",4.1,40,600
Almond House,"Lingapur Building,Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,"Mithai,  Desserts",5,5,500
Holiday Inn Express,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"North Indian,  Italian,  Chinese",1.7,3,1400
Harley's Fine Baking,"Ameerpet, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Continental,  Desserts",5,1,500
Vivaha Bhojanambu,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,South Indian,4.1,428,1000
Shri Santosh Family Dhaba,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"North Indian,  Chinese",2.6,5,600
Rayalaseema Ruchulu,"36 Square,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Andhra,  North Indian,  South Indian,  Biryani",3.9,544,1200
Platform 65,"Ratna Arcade,Kompally, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Chinese",4.3,48,1200
Flavours Of TMH,"Taj Tristar Hotel,SD Road, Secunderabad", Secunderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian",4.2,99,800
Salt & Pepper,"The Central Court Hotel,Lakdi-Ka-Pul, Central Hyderabad", Central Hyderabad,Hyderabad,"North Indian,  Chinese,  Continental",2.8,5,1500
Lazeez Multicuisine Restaurant,"Royal Reve Hotel,SD Road, Secunderabad", Secunderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian,  Mughlai",4,114,1600
Tre-Forni,"Park Hyatt Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,Italian,4.3,29,3000
The Board Game Cafe,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,"Fast Food,  Chinese,  Continental",4.2,75,900
Icekraft,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Ice Cream,  Desserts,  Waffle",3.3,46,500
Apna Rasoi,"SD Road, Secunderabad", Secunderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",3.9,114,600
Beijing Bites,"OM sri sai towers,Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,"Chinese,  Thai",3.9,133,1100
House Of Dosas,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,South Indian,4.3,11,300
Waffle House,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Fast Food,  Waffle,  Desserts",3.4,16,600
Black Pearl Multi Cuisine Restaurant,"Basheerbagh, Central Hyderabad", Central Hyderabad,Hyderabad,"North Indian,  Chinese",3.8,60,800
China Express,"Terminal Drive In,Sindhi Colony, Secunderabad", Secunderabad,Hyderabad,Chinese,2,1,400
Huber and Holly,"Park View Enclave,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Ice Cream,  Fast Food,  Desserts",4.3,106,1000
Ohri's Serengeti,"Ohri's Banjara,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"North Indian,  Mughlai",4.2,428,1500
Frozen Bottle,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,"Shakes,  Desserts",4,2,300
Eagles Pizza,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,"Pizza,  Italian,  Ice Cream,  Fast Food",3.8,90,600
Flechazo,"Sun Towers,Madhapur, West Hyderabad", West Hyderabad,Hyderabad,Multi-Cuisine,4.1,2707,1300
Broadway,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  Chinese,  Continental",4.4,126,2600
Apsara Ice Creams,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,"Ice Cream,  Desserts",4.3,33,300
Barbeque Nation,"Alcazar Mall,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Barbecue,  North Indian",4.4,693,1400
Robo Kitchen,"Alcazar Mall,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Chinese,  Thai,  North Indian",3.4,442,1200
Ohri's Uppu,"Ohri's Banjara,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Multi-Cuisine,  South Indian,  Andhra,  Chettinad,  Kerala",4,143,1600
The Dining Room,"Park Hyatt Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"North Indian,  Continental",4.2,85,3000
Rika,"Park Hyatt Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,Asian,4.6,7,3400
United Kitchens of India,"The Purple Leaf Hotel,Karkhana, Secunderabad", Secunderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Andhra,  Chettinad,  Bengali",4.2,213,1000
Indian Foodies Hub,"Kimtee Square,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian,  Biryani",3.8,249,1100
Tatva,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  European,  Mughlai",4.4,357,1500
Almond House,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Mithai,  Desserts",5,1,500
Ohri's Far East,"Ohri's Banjara,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Chinese,  Seafood",3.8,240,1400
Medley,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Lebanese,  North Indian,  Italian,  Chinese,  Continental,  Mexican,  Desserts",4.3,156,1000
Southern Spice,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,South Indian,3.9,46,800
TiKi Shack - Rooftop Bar,"Jahnavi Trade Center,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Continental,  Asian,  Fast Food",4,249,1500
Ohri's Eatmor,"Hotel Baseraa,SD Road, Secunderabad", Secunderabad,Hyderabad,"Continental,  Fast Food,  Italian,  Chinese,  Finger Food,  Street Food,  Desserts,  Ice Cream,  Shakes",3.8,189,1000
Bench Cafe & Restaurant,"Abids, Central Hyderabad", Central Hyderabad,Hyderabad,"Italian,  Chinese",3.9,39,500
Indulge Ice Cream,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Ice Cream,  Desserts,  Shakes",5,1,300
Stallion,"Royal Reve Hotel,SD Road, Secunderabad", Secunderabad,Hyderabad,"Chinese,  Mughlai",4.2,18,1600
Almond House,"SD Road, Secunderabad", Secunderabad,Hyderabad,"Mithai,  Desserts",4.7,6,500
Ohri's - Sahib’s Barbeque,"Cyber Grub,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Barbecue,  Hyderabadi,  Awadhi",4.1,1501,1500
Ohri's - Out Swinger,"Hotel Baseraa,SD Road, Secunderabad", Secunderabad,Hyderabad,"Finger Food,  North Indian,  Chinese",3.8,73,1600
Petoo,"Ameerpet, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Street Food,  Fast Food,  Chaat,  Biryani",1,1,600
Cheesiaano Pizza,"Himayath Nagar, Central Hyderabad", Central Hyderabad,Hyderabad,"Italian,  Pizza",4.2,38,700
Scotchman,"Royalton Hotel,Abids, Central Hyderabad", Central Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian",4.2,34,2500
Spice Garden,"Royal Reve Hotel,SD Road, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Chinese,  Continental",4,85,700
Amnesia Lounge and Bar,"Jaya Chambers,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  American",4,365,1200
Vintage Restaurant And Bar,"Nallakunta, Central Hyderabad", Central Hyderabad,Hyderabad,"North Indian,  Chinese",4,10,1000
The Living Room,"Park Hyatt Hotel,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Desserts,  Bakery and Confectionary,  Coffee",4.1,7,1200
Chubby Cho,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Chinese,  Seafood,  Sushi",4.5,109,2500
Hashi,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Japanese,  Asian",4.4,204,1000
Coco's Bar & Grill,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.2,106,1800
Cream Shakes,"SR Nagar, Central East Hyderabad", Central East Hyderabad,Hyderabad,Shakes,1.9,3,300
The Funnel Hill Creamery,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Desserts,  Fast Food",4,31,1000
Skypark Cafe,"Owner's Pride,Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",2.5,2,1000
Theory Cafe & Dessert Bar,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Continental,  Fast Food,  Shakes",3.9,31,1200
Fat Pigeon - Bar Hop,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Continental,  Mexican,  Lebanese",4.5,110,2600
SodaBottleOpenerWala,"Niharika Jubilee One,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Parsi,  Iranian",4.4,404,2000
Serefe Bar Bistro & Lounge,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  Italian,  Continental,  Asian",4.1,229,2600
Sizzling Joe,"Terminal Drive In,Sindhi Colony, Secunderabad", Secunderabad,Hyderabad,"Sizzlers,  Fast Food",1,2,500
Comic Social,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Italian,  Fast Food,  Coffee,  Tea",4.5,24,1000
Flavours Of TMH,"Taj Mahal Hotel,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  South Indian,  Chinese,  Continental",4.4,208,1200
Absorb - The Boutique Bar,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,Continental,4.1,446,1500
Zero40 Brewing,"Zero40,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  American",4.4,232,2700
45th Avenue,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,Desserts,3.9,9,800
Gappe Vappe,"SD Road, Secunderabad", Secunderabad,Hyderabad,"Street Food,  Fast Food",4,1,500
By The Bottle,"Shreshta Aura,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Finger Food,  North Indian,  Italian,  Oriental ",4.1,221,1500
China Bistro,"Niharika Jubilee One,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Chinese,  Asian,  Thai,  Japanese,  Sushi",4.3,521,2000
Oye Pizza,"Abids, Central Hyderabad", Central Hyderabad,Hyderabad,"Fast Food,  Pizza",4.1,14,500
President Dhaba Bar & Kitchen,"Shreshta Aura,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  Chinese,  Seafood",4,214,2000
Mahamudra,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"South Indian,  Health Food,  North Indian",4.5,51,800
The Hole in The Wall Cafe,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"American,  Fast Food,  Waffle",4.4,62,600
Chandra Haveli Star Restaurant,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  South Indian,  Biryani",4.2,45,800
Mini Punjab,"Abids, Central Hyderabad", Central Hyderabad,Hyderabad,"North Indian,  Chinese",3.3,95,500
Blue Block Club,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  Continental,  Chinese",3.6,54,2000
Grill 9,"SD Road, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Arabian,  Chinese,  Lebanese",4,1,600
Gelatissimo,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Desserts,  Ice Cream",4.4,113,400
Sofrehh Persian Bistro,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Persian,  Fast Food",4.1,30,600
Autumn Leaf Cafe,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Continental,  Fast Food",4.4,127,1000
Ulavacharu,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Seafood,  Andhra,  North Indian,  Chinese",3.8,324,1000
Dirty Martini - Kitchen and Cocktail Lounge,"Alcazar Mall,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  Continental,  Oriental ",4.2,103,2300
Eagles Pizza,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Pizza,  Italian,  Ice Cream,  Fast Food",3.9,41,600
Oh So Stoned,"The Purple Leaf Hotel,Karkhana, Secunderabad", Secunderabad,Hyderabad,"Ice Cream,  Desserts,  Shakes",4,48,400
Grill 9,"Karkhana, Secunderabad", Secunderabad,Hyderabad,"Arabian,  North Indian,  Chinese,  Biryani",3.7,74,400
Makers Of Milkshakes,"Bowenpally, Secunderabad", Secunderabad,Hyderabad,"Shakes,  Waffle",5,1,400
Jamie's Pizzeria By Jamie Oliver,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Italian,  Pizza",4.6,9,1000
Sounds & Spirits,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Continental,  Finger Food",4.1,385,1500
Makers Of Milkshakes,"Kachiguda, Central Hyderabad", Central Hyderabad,Hyderabad,"Shakes,  Waffle",5,1,400
Kabul Darbar,"Yousuf Tekri Complex,Tolichowki, Central Hyderabad", Central Hyderabad,Hyderabad,"Afghani,  Biryani",4.2,86,900
Repete Brewery & Kitchen,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Pizza",4,494,1800
Gismat Arabic Restaurant,"PNR Empire,Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,Arabian,3.7,205,800
MOB,"Film Nagar, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.1,178,3000
Stone Waters,"Aruna Arcade,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  Continental,  Asian",4.1,266,2100
The Moonshine Project,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Mexican,  American",4.3,236,2200
Smoky Pitara,"Sreshta Aura,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  Continental,  Oriental ",3.9,1076,1300
Cream Stone,"Sami Complex,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Desserts,  Ice Cream,  Shakes",4.4,12,400
Lassi Hub,"Kachiguda, Central Hyderabad", Central Hyderabad,Hyderabad,"Drinks,  Fast Food",4,1,300
Urban Asia-Kitchen and Bar,"Jahnavi Trade Center,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Asian,  Chinese,  Thai,  Japanese,  Seafood",4.2,452,1500
Tarz Creators Studio & Cafe,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Health Food,  North Indian,  Italian,  Mediterranean",4.4,41,800
Mama's Kitchen,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  South Indian,  Chinese",3.5,241,700
Exotica,"Business Square,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Mughlai,  Oriental ",4.4,162,2600
Beyond Coffee,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Italian,  Coffee,  Continental,  American",4.4,58,900
Captain Egg,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,Fast Food,4.2,23,1000
Moxa Kitchen,"Film Nagar, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  Chinese,  Continental",4.2,59,1100
Ohri's - Nautanki Gali,"Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Continental,  South Indian,  Mediterranean,  Indian Cuisine",3.8,1405,1100
Enchante Cafe And Confectionery,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Desserts,  Bakery and Confectionary,  Italian",4.3,81,800
Buffalo Wild Wings,"Axis Tower,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,American,4.4,320,2500
Aura,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Continental,  Italian,  American",4.3,70,1500
Zafar's Fine Dine,"Yousuf Tekri Complex,Tolichowki, Central Hyderabad", Central Hyderabad,Hyderabad,"Chinese,  Arabian,  North Indian",4,44,900
4 Seasons,"Yousuf Tekri Complex,Tolichowki, Central Hyderabad", Central Hyderabad,Hyderabad,"Arabian,  North Indian,  Seafood,  Mughlai",3.9,115,1400
N Grand,"Karkhana, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Andhra,  Chinese",3.4,14,900
Ironhill Cafe,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Italian,  Continental,  Fast Food",4.4,45,900
Filmy Junction,"Banjara Hills, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  South Indian,  Mughlai,  Andhra",3.8,513,1000
The ThickShake Factory,"Film Nagar, Central West Hyderabad", Central West Hyderabad,Hyderabad,Shakes,4.3,4,400
President Dhaba,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  Mughlai",3.9,478,1000
Temptations,"Begum Bazaar, South Hyderabad", South Hyderabad,Hyderabad,"Desserts,  Ice Cream,  Shakes,  Fast Food",4,1,600
Blind Ch3mistry,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Italian,  Fast Food",4.1,60,600
Kobe Sizzlers,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Continental,  Asian,  Sizzlers",4,246,1200
Maguro,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Japanese,  Sushi,  Asian",4.4,27,1400
Chemistry,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,Finger Food,4,169,1800
Santosh Dhaba,"Begum Bazaar, South Hyderabad", South Hyderabad,Hyderabad,"North Indian,  Chinese",3.8,57,600
Istanbul,"Sami Complex,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,Middle Eastern,4.4,14,300
Beijing Bites,"Cuba Food Havana,Film Nagar, Central West Hyderabad", Central West Hyderabad,Hyderabad,Chinese,4,3,400
Hotel Kass,"Hotel Kass,Kompally, Secunderabad", Secunderabad,Hyderabad,"South Indian,  Andhra,  Chinese",4.3,158,1200
The Pizza Hub,"Kachiguda, Central Hyderabad", Central Hyderabad,Hyderabad,"Fast Food,  Pizza",2,1,600
Cream Stone,"Tolichowki, Central Hyderabad", Central Hyderabad,Hyderabad,"Desserts,  Ice Cream,  Shakes",3.8,24,400
Carpe Diem,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Continental,  Finger Food",4.1,85,2700
Ironhill Hyderabad,"Kukatpally, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Continental,  Italian",4.1,23,1200
Ci Gusta,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Ice Cream,  Italian,  Desserts",4.5,108,1000
Over The Moon,"Hotel Daspalla,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  Continental,  Asian",4,211,2500
Nasha,"Hotel Kass,Kompally, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Andhra",4.3,218,1500
Palamuru Grill,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Andhra,  North Indian",4.1,479,900
Reason's,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"North Indian,  Chinese",4.5,37,1800
The Chocolate Room,"Attapur, South Hyderabad", South Hyderabad,Hyderabad,"Italian,  Continental,  Fast Food,  Desserts",4.2,49,800
Burger Mischief,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Fast Food,  American,  Burger",4.5,24,500
Zozoz Pizzeria,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Italian,  Pizza",4.2,72,800
De Cafe Studio,"Malakpet, South Hyderabad", South Hyderabad,Hyderabad,"Continental,  Fast Food,  Desserts,  Coffee,  Tea",4.2,39,500
Hut-K Spice Kitchen,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  South Indian,  Chinese",4,175,900
Circles,"Hotel Daspalla,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian",4.2,93,1700
Beans & Brie Bistro,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Continental,  Health Food,  Shakes",4.2,60,1000
Revolt Jubilee Hills,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Italian,  Chinese,  Finger Food,  North Indian",3.9,731,2000
Mid Land Bakers & Confectioners,"Ameerpet, Central East Hyderabad", Central East Hyderabad,Hyderabad,"Bakery and Confectionary,  Chinese,  Desserts,  Fast Food",1.5,2,400
Kholani's Dine in Barbeque,"Tolichowki, Central Hyderabad", Central Hyderabad,Hyderabad,"North Indian,  Barbecue,  Chinese,  Mughlai",3.3,21,1000
Fusion 9,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Fusion,  Italian,  Continental,  Asian",4.4,76,3000
Olive Bistro & Bar,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"European,  Italian,  Mediterranean",4.3,458,1500
The Hoppery,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Continental,  Finger Food,  Pizza",4.3,375,1800
F3 Cafe and Bistro,"Sainikpuri, Secunderabad", Secunderabad,Hyderabad,"Italian,  Continental,  Mexican,  Asian",4.3,132,900
Sacred Earth Cafe,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Italian,  Mediterranean,  Mexican",4.8,11,800
Amnesia Sky Bar,"Inorbit Mall,Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Continental,  Oriental ",4,234,2100
Coffee Times,"Hotel Daspalla,Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  South Indian,  Coffee",4.1,66,800
Palamuru Grill,"Attapur, South Hyderabad", South Hyderabad,Hyderabad,"Barbecue,  Andhra,  North Indian",4.1,186,1100
Ironhill Cafe,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Italian,  Continental,  Fast Food",4.2,108,900
Rayalaseema Ruchulu,"Sun Towers,Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Andhra,  South Indian,  Biryani",3.9,433,1100
Biggies Burger 'n' More,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Fast Food,  Burger",4,55,600
10 Downing Street,"Kompally, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Continental,  Chinese,  Multi-Cuisine,  Fusion",5,3,1800
MudBrick Kitchen and Bar,"Jubilee Hills, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Continental,  European,  North Indian,  Italian",4.3,78,2500
Makers Of Milkshakes,"Film Nagar, Central West Hyderabad", Central West Hyderabad,Hyderabad,"Shakes,  Waffle",3,2,400
The Grand Trunk Road,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese,  South Indian",4,712,1100
Kesariya's Sweets,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Desserts,  Mithai,  Street Food,  Chaat",4,6,200
CIBO House,"Phoenix Tower A,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"Italian,  Continental",4.3,616,1500
Fusion 9,"Inorbit Mall,Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Asian,  Fusion,  Italian,  Continental",4.2,350,1800
Dildaar,"Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Mughlai",4.3,187,1000
1989 Pizza & Thick Shake's,"Malakpet, South Hyderabad", South Hyderabad,Hyderabad,"Fast Food,  Pizza,  Italian",5,1,600
Frozen Bottle,"Tolichowki, Central Hyderabad", Central Hyderabad,Hyderabad,"Shakes,  Desserts,  Ice Cream",3.8,12,300
Chili’s American Grill and Bar,"Inorbit Mall,Madhapur, West Hyderabad", West Hyderabad,Hyderabad,"Mexican,  American",4.2,623,1800
